mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.02105288505554199,0.0030010190006415495,0.014291810989379882,0.0030957431567165904,0.0,42,"{'ccp_alpha': 0.0, 'random_state': 42}",0.8056537102473498,0.8374558303886925,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8286219081272085,0.01951666598800122,57,0.38202247191011235,0.4888888888888889,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.4581497344699308,0.05450189491420728,40,0.37777777777777777,0.4782608695652174,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4490688273961421,0.05893698651593236,67,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.02112727165222168,0.003937588417734936,0.015238046646118164,0.0024172887325192988,0.0002360717658168082,42,"{'ccp_alpha': 0.0002360717658168082, 'random_state': 42}",0.8056537102473498,0.8374558303886925,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8286219081272085,0.01951666598800122,57,0.38202247191011235,0.4888888888888889,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.4581497344699308,0.05450189491420728,40,0.37777777777777777,0.4782608695652174,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4490688273961421,0.05893698651593236,67,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.019081735610961915,0.0028171347400822626,0.012609434127807618,0.0021795917739133325,0.0003777148253068933,42,"{'ccp_alpha': 0.0003777148253068933, 'random_state': 42}",0.8021201413427562,0.8374558303886925,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8279151943462898,0.020380429649271222,71,0.37777777777777777,0.4888888888888889,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.4573007956434639,0.05570093460295768,50,0.3695652173913043,0.4782608695652174,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4474263153188474,0.060979935907458815,69,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.019813156127929686,0.002429500036035959,0.013303232192993165,0.002922650731861883,0.00046781193960028126,42,"{'ccp_alpha': 0.00046781193960028126, 'random_state': 42}",0.8021201413427562,0.8374558303886925,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8279151943462898,0.020380429649271222,71,0.37777777777777777,0.4888888888888889,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.4573007956434639,0.05570093460295768,50,0.3695652173913043,0.4782608695652174,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4474263153188474,0.060979935907458815,69,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.019275474548339843,0.002694259106232117,0.012672758102416993,0.0027150317720897547,0.0005058680696074467,42,"{'ccp_alpha': 0.0005058680696074467, 'random_state': 42}",0.8021201413427562,0.8374558303886925,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8279151943462898,0.020380429649271222,71,0.37777777777777777,0.4888888888888889,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.4573007956434639,0.05570093460295768,50,0.3695652173913043,0.4782608695652174,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4474263153188474,0.060979935907458815,69,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.02411966323852539,0.0025528886890085764,0.015938234329223634,0.0026393268784705654,0.0005646117803895445,42,"{'ccp_alpha': 0.0005646117803895445, 'random_state': 42}",0.8021201413427562,0.8374558303886925,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8279151943462898,0.020380429649271222,71,0.37777777777777777,0.4888888888888889,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.4573007956434639,0.05570093460295768,50,0.3695652173913043,0.4782608695652174,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4474263153188474,0.060979935907458815,69,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.021993637084960938,0.0025696862803287553,0.016077041625976562,0.003438639494593293,0.0006295247088448224,42,"{'ccp_alpha': 0.0006295247088448224, 'random_state': 42}",0.8021201413427562,0.8409893992932862,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8286219081272085,0.020756798599525103,57,0.37777777777777777,0.4943820224719101,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.45839942236006814,0.056363366512520656,23,0.3695652173913043,0.4888888888888889,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4495519191835817,0.062190911279573366,55,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.018699455261230468,0.002015846202175358,0.011975860595703125,0.0019411888241432653,0.0006576284904896805,42,"{'ccp_alpha': 0.0006576284904896805, 'random_state': 42}",0.8021201413427562,0.8409893992932862,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8286219081272085,0.020756798599525103,57,0.37777777777777777,0.4943820224719101,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.45839942236006814,0.056363366512520656,23,0.3695652173913043,0.4888888888888889,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4495519191835817,0.062190911279573366,55,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.020644330978393556,0.0023708658434954365,0.013668251037597657,0.002140149319676051,0.0006610009442870632,42,"{'ccp_alpha': 0.0006610009442870632, 'random_state': 42}",0.8021201413427562,0.8409893992932862,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8286219081272085,0.020756798599525103,57,0.37777777777777777,0.4943820224719101,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.45839942236006814,0.056363366512520656,23,0.3695652173913043,0.4888888888888889,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4495519191835817,0.062190911279573366,55,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
0.02039470672607422,0.0020842615490522486,0.014319658279418945,0.0020682055407280414,0.0006744907594765954,42,"{'ccp_alpha': 0.0006744907594765954, 'random_state': 42}",0.8021201413427562,0.8409893992932862,0.8581560283687943,0.8085106382978723,0.8333333333333334,0.8286219081272085,0.020756798599525103,57,0.37777777777777777,0.4943820224719101,0.5348837209302325,0.4130434782608695,0.4719101123595506,0.45839942236006814,0.056363366512520656,23,0.3695652173913043,0.4888888888888889,0.5348837209302325,0.3877551020408163,0.4666666666666667,0.4495519191835817,0.062190911279573366,55,0.38636363636363635,0.5,0.5348837209302325,0.4418604651162791,0.4772727272727273,0.468076109936575,0.05085500522985173,1
