mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.28100924491882323,0.027284604662819904,0.041059684753417966,0.0035041547718647273,True,8,4,3,50,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 50, 'random_state': 42}",0.8637770897832817,0.8668730650154799,0.8637770897832817,0.8854489164086687,0.8757763975155279,0.8711305117012479,0.00840086243732425,49,0.8607575757575757,0.8336363636363636,0.878146879189632,0.8993743482794577,0.8811967761557178,0.8706223886037494,0.02218283747065706,52
0.48886871337890625,0.01517649182195315,0.06298999786376953,0.0013481572491152107,True,8,4,3,100,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.8668730650154799,0.8792569659442725,0.8575851393188855,0.8854489164086687,0.8664596273291926,0.8711247428033,0.009944605890679433,52,0.8603030303030303,0.8403787878787878,0.8820199612691793,0.9011619246238641,0.8789917883211679,0.8725710984792059,0.020662971539803128,28
1.0393636226654053,0.07937587967992293,0.11045737266540527,0.0020775684085416017,True,8,4,3,200,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 200, 'random_state': 42}",0.8668730650154799,0.8761609907120743,0.8544891640866873,0.8823529411764706,0.8757763975155279,0.8711305117012481,0.009673605327020935,46,0.8638636363636363,0.8409090909090909,0.8832116788321167,0.898778489497989,0.8797521289537712,0.8733030049113207,0.019632833100049627,16
0.24672608375549315,0.004049457675834644,0.042591094970703125,0.006723828229637372,True,8,4,5,50,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42}",0.8637770897832817,0.8668730650154799,0.8637770897832817,0.8854489164086687,0.8757763975155279,0.8711305117012479,0.00840086243732425,49,0.8607575757575757,0.8336363636363636,0.878146879189632,0.8993743482794577,0.8811967761557178,0.8706223886037494,0.02218283747065706,52
0.47891650199890134,0.0070858085245286,0.06258182525634766,0.000937629378650772,True,8,4,5,100,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.8668730650154799,0.8792569659442725,0.8575851393188855,0.8854489164086687,0.8664596273291926,0.8711247428033,0.009944605890679433,52,0.8603030303030303,0.8403787878787878,0.8820199612691793,0.9011619246238641,0.8789917883211679,0.8725710984792059,0.020662971539803128,28
0.9644562721252441,0.019018954474733972,0.11021213531494141,0.001617662011634639,True,8,4,5,200,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.8668730650154799,0.8761609907120743,0.8544891640866873,0.8823529411764706,0.8757763975155279,0.8711305117012481,0.009673605327020935,46,0.8638636363636363,0.8409090909090909,0.8832116788321167,0.898778489497989,0.8797521289537712,0.8733030049113207,0.019632833100049627,16
0.2559471130371094,0.014406563930371806,0.03890185356140137,0.0012659601017612615,True,8,4,8,50,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 50, 'random_state': 42}",0.8637770897832817,0.8668730650154799,0.8637770897832817,0.8854489164086687,0.8757763975155279,0.8711305117012479,0.00840086243732425,49,0.8607575757575757,0.8336363636363636,0.878146879189632,0.8993743482794577,0.8811967761557178,0.8706223886037494,0.02218283747065706,52
0.4837301731109619,0.010135151806091628,0.06272602081298828,0.0012737803674512664,True,8,4,8,100,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100, 'random_state': 42}",0.8668730650154799,0.8792569659442725,0.8575851393188855,0.8854489164086687,0.8664596273291926,0.8711247428033,0.009944605890679433,52,0.8603030303030303,0.8403787878787878,0.8820199612691793,0.9011619246238641,0.8789917883211679,0.8725710984792059,0.020662971539803128,28
0.9962279319763183,0.01948524491521566,0.12357330322265625,0.008958484988639133,True,8,4,8,200,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 200, 'random_state': 42}",0.8668730650154799,0.8761609907120743,0.8544891640866873,0.8823529411764706,0.8757763975155279,0.8711305117012481,0.009673605327020935,46,0.8638636363636363,0.8409090909090909,0.8832116788321167,0.898778489497989,0.8797521289537712,0.8733030049113207,0.019632833100049627,16
0.2733940601348877,0.0034009502815282727,0.042408180236816403,0.00036297342489437364,True,10,4,3,50,42,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 50, 'random_state': 42}",0.8792569659442725,0.8761609907120743,0.8637770897832817,0.891640866873065,0.8850931677018633,0.8791858162029114,0.009344608823690481,1,0.8648484848484849,0.8443181818181819,0.8864889021301952,0.8929688663786682,0.8669023722627737,0.8711053614876608,0.017257072678568294,49
