mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_max_depth,param_n_estimators,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.5209444046020508,0.007037749651458291,0.018796682357788086,0.000980924120259585,friedman_mse,0.1,2,100,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'random_state': 42}",0.872791519434629,0.8798586572438163,0.8971631205673759,0.8723404255319149,0.8687943262411347,0.8781896098037741,0.010143012565856839,1,0.45454545454545453,0.4848484848484849,0.5671641791044777,0.4375,0.3728813559322034,0.46338789488612414,0.06351358836332893,157,0.6818181818181818,0.7272727272727273,0.7916666666666666,0.6666666666666666,0.7333333333333333,0.7201515151515151,0.043974907278539054,1,0.3409090909090909,0.36363636363636365,0.4418604651162791,0.32558139534883723,0.25,0.34439746300211416,0.06188096030565109,238
1.6734653472900392,0.10835722977790671,0.024125337600708008,0.006834742214272529,friedman_mse,0.1,2,300,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 300, 'random_state': 42}",0.8692579505300353,0.8657243816254417,0.8936170212765957,0.8687943262411347,0.8617021276595744,0.8718191614665564,0.011228150660404475,15,0.49315068493150693,0.4864864864864865,0.5714285714285714,0.4788732394366197,0.41791044776119407,0.4895698860088757,0.04893397018441226,56,0.6206896551724138,0.6,0.7407407407407407,0.6071428571428571,0.6086956521739131,0.6354537810459849,0.05306185024669893,7,0.4090909090909091,0.4090909090909091,0.46511627906976744,0.3953488372093023,0.3181818181818182,0.39936575052854123,0.047157726589539026,99
2.541791820526123,0.0503516620247186,0.019773054122924804,0.00014573054759511208,friedman_mse,0.1,2,500,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500, 'random_state': 42}",0.8763250883392226,0.8621908127208481,0.8936170212765957,0.8652482269503546,0.8652482269503546,0.8725258752474752,0.011593207561677196,13,0.5454545454545454,0.49350649350649356,0.5833333333333334,0.4864864864864865,0.4722222222222222,0.5162006162006162,0.04170046986032213,16,0.6363636363636364,0.5757575757575758,0.7241379310344828,0.5806451612903226,0.6071428571428571,0.624809432317775,0.05416331901619041,33,0.4772727272727273,0.4318181818181818,0.4883720930232558,0.4186046511627907,0.38636363636363635,0.44048625792811846,0.03776108036773515,45
3.5009360790252684,0.01893897546726091,0.021128129959106446,0.0006409631245817678,friedman_mse,0.1,2,700,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 700, 'random_state': 42}",0.8621908127208481,0.8621908127208481,0.8900709219858156,0.8723404255319149,0.8687943262411347,0.8711174598401122,0.010251793791277403,17,0.5063291139240506,0.5063291139240506,0.5866666666666667,0.5135135135135135,0.49315068493150693,0.5211978185919577,0.03338867196022629,6,0.5714285714285714,0.5714285714285714,0.6875,0.6129032258064516,0.6206896551724138,0.6127900047672016,0.0425805989128029,87,0.45454545454545453,0.45454545454545453,0.5116279069767442,0.4418604651162791,0.4090909090909091,0.4543340380549683,0.03312161695994273,20
0.9425127506256104,0.00598123810104195,0.019609546661376952,0.0027764302971012597,friedman_mse,0.1,4,100,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'random_state': 42}",0.8586572438162544,0.872791519434629,0.8865248226950354,0.8652482269503546,0.8475177304964538,0.8661479086785455,0.01314046586009383,114,0.393939393939394,0.4705882352941177,0.5675675675675677,0.40625,0.3384615384615385,0.4353613470525236,0.07832271704932937,232,0.5909090909090909,0.6666666666666666,0.6774193548387096,0.6190476190476191,0.5238095238095238,0.6155704510543221,0.05563533283719113,75,0.29545454545454547,0.36363636363636365,0.4883720930232558,0.3023255813953488,0.25,0.3399577167019028,0.08255495875176153,249
2.818395900726318,0.030816634678956453,0.019661903381347656,0.00012337676559354783,friedman_mse,0.1,4,300,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'random_state': 42}",0.8268551236749117,0.8692579505300353,0.8829787234042553,0.8439716312056738,0.8581560283687943,0.8562438914367341,0.019504262527969,220,0.30985915492957744,0.49315068493150693,0.5599999999999999,0.37142857142857144,0.4117647058823529,0.42924062343440167,0.08841050457289208,246,0.4074074074074074,0.6206896551724138,0.65625,0.48148148148148145,0.5833333333333334,0.5498323754789272,0.09211351183388378,237,0.25,0.4090909090909091,0.4883720930232558,0.3023255813953488,0.3181818181818182,0.3535940803382664,0.0846867539594516,215
4.774653005599975,0.12502622193813934,0.02198944091796875,0.0007321251048167648,friedman_mse,0.1,4,500,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500, 'random_state': 42}",0.833922261484099,0.8621908127208481,0.8794326241134752,0.8439716312056738,0.8617021276595744,0.8562438914367341,0.015822383344479923,220,0.35616438356164387,0.4657534246575343,0.5405405405405406,0.37142857142857144,0.43478260869565216,0.4337339057767885,0.06683261488472965,237,0.4482758620689655,0.5862068965517241,0.6451612903225806,0.48148148148148145,0.6,0.5522251060849503,0.07467856809835605,231,0.29545454545454547,0.38636363636363635,0.46511627906976744,0.3023255813953488,0.3409090909090909,0.35803382663847777,0.06258124532658439,210
6.5948567390441895,0.07757540041914537,0.023345565795898436,0.00021550879961032088,friedman_mse,0.1,4,700,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 700, 'random_state': 42}",0.8303886925795053,0.8551236749116607,0.875886524822695,0.8475177304964538,0.8652482269503546,0.854832969952134,0.015510317114515407,232,0.3513513513513514,0.4383561643835616,0.5205479452054794,0.3943661971830986,0.4411764705882353,0.42915962574234534,0.05629478848337034,248,0.43333333333333335,0.5517241379310345,0.6333333333333333,0.5,0.625,0.5486781609195402,0.07572950800630839,240,0.29545454545454547,0.36363636363636365,0.4418604651162791,0.32558139534883723,0.3409090909090909,0.35348837209302325,0.049431915314065177,218
1.518246841430664,0.018568763857377674,0.018973302841186524,0.0007675263593172733,friedman_mse,0.1,6,100,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'random_state': 42}",0.833922261484099,0.8763250883392226,0.8723404255319149,0.8581560283687943,0.8581560283687943,0.859779966418565,0.014868768923918719,201,0.31884057971014496,0.5070422535211268,0.5,0.411764705882353,0.42857142857142855,0.43324379353701065,0.06851843741960272,241,0.44,0.6666666666666666,0.6206896551724138,0.56,0.5769230769230769,0.5728558797524315,0.07605397337973047,198,0.25,0.4090909090909091,0.4186046511627907,0.32558139534883723,0.3409090909090909,0.3488372093023256,0.06143368159004352,233
4.521501922607422,0.07400966053827093,0.021272563934326173,0.00025681121315884335,friedman_mse,0.1,6,300,42,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'random_state': 42}",0.8268551236749117,0.8798586572438163,0.8794326241134752,0.851063829787234,0.8581560283687943,0.8590732526376463,0.01974607323063736,204,0.2898550724637681,0.5277777777777777,0.5277777777777777,0.38235294117647056,0.4117647058823529,0.4279056550156294,0.09093121040652521,251,0.4,0.6785714285714286,0.6551724137931034,0.52,0.5833333333333334,0.567415435139573,0.10058476333279653,207,0.22727272727272727,0.4318181818181818,0.4418604651162791,0.3023255813953488,0.3181818181818182,0.344291754756871,0.08162949217435378,242
