mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.7865346908569336,0.07050665114456786,0.06295633316040039,0.009140940053256344,True,8,1,2,150,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'random_state': 42}",0.8692579505300353,0.8763250883392226,0.875886524822695,0.8652482269503546,0.8652482269503546,0.8703932035185324,0.004890689186582809,33,0.3272727272727273,0.4067796610169491,0.44444444444444453,0.32142857142857145,0.3448275862068965,0.3689505980739178,0.048389392382014264,35,0.8181818181818182,0.8,0.7,0.6923076923076923,0.7142857142857143,0.744955044955045,0.05315150993997438,76,0.20454545454545456,0.2727272727272727,0.32558139534883723,0.20930232558139536,0.22727272727272727,0.24788583509513745,0.04570705222053644,70
1.454622173309326,0.28288323779290364,0.10363626480102539,0.037520160686167786,True,8,1,2,250,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250, 'random_state': 42}",0.8657243816254417,0.8763250883392226,0.875886524822695,0.8652482269503546,0.8723404255319149,0.8711049294539258,0.004793566996862491,22,0.2962962962962963,0.36363636363636365,0.44444444444444453,0.32142857142857145,0.35714285714285715,0.3565897065897066,0.05027925430079787,100,0.8,0.9090909090909091,0.7,0.6923076923076923,0.8333333333333334,0.7869463869463871,0.08216761725244258,32,0.18181818181818182,0.22727272727272727,0.32558139534883723,0.20930232558139536,0.22727272727272727,0.23424947145877378,0.048600968017392936,144
1.7942913055419922,0.12513055084921482,0.10890583992004395,0.010813764432111794,True,8,1,2,350,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350, 'random_state': 42}",0.8692579505300353,0.8692579505300353,0.875886524822695,0.8687943262411347,0.8687943262411347,0.870398215673007,0.002751976349260471,29,0.3018867924528302,0.3508771929824561,0.44444444444444453,0.32727272727272727,0.3272727272727273,0.350350776885037,0.04953351577174704,150,0.8888888888888888,0.7692307692307693,0.7,0.75,0.8181818181818182,0.7852602952602952,0.06417517302409045,40,0.18181818181818182,0.22727272727272727,0.32558139534883723,0.20930232558139536,0.20454545454545456,0.22970401691331924,0.050081170787759165,163
2.459575653076172,0.15962032936704665,0.15013184547424316,0.03209392321343514,True,8,1,2,450,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450, 'random_state': 42}",0.8692579505300353,0.8763250883392226,0.875886524822695,0.8687943262411347,0.8687943262411347,0.8718116432348445,0.0035129929341486967,14,0.3272727272727273,0.38596491228070173,0.44444444444444453,0.32727272727272727,0.3272727272727273,0.36244550770866557,0.04687933759772116,68,0.8181818181818182,0.8461538461538461,0.7,0.75,0.8181818181818182,0.7865034965034965,0.053629388410517315,33,0.20454545454545456,0.25,0.32558139534883723,0.20930232558139536,0.20454545454545456,0.23879492600422836,0.04663327356012027,128
0.8255362510681152,0.06773386571693975,0.07409343719482422,0.018002177368915566,True,8,1,5,150,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150, 'random_state': 42}",0.8621908127208481,0.872791519434629,0.8794326241134752,0.8687943262411347,0.8687943262411347,0.8704007217502443,0.005654286749023822,25,0.2641509433962264,0.37931034482758624,0.45161290322580644,0.32727272727272727,0.3508771929824561,0.3546448223409605,0.06158533178590486,118,0.7777777777777778,0.7857142857142857,0.7368421052631579,0.75,0.7692307692307693,0.7639129875971981,0.018012283042786185,56,0.1590909090909091,0.25,0.32558139534883723,0.20930232558139536,0.22727272727272727,0.23424947145877378,0.054606673612036215,144
1.435112762451172,0.1811484018842779,0.08178086280822754,0.006245420602664938,True,8,1,5,250,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250, 'random_state': 42}",0.8657243816254417,0.872791519434629,0.8687943262411347,0.8617021276595744,0.8687943262411347,0.867561336240383,0.003690530378686919,104,0.2962962962962963,0.37931034482758624,0.3934426229508197,0.31578947368421056,0.3508771929824561,0.3471431861482738,0.03677164191511992,167,0.8,0.7857142857142857,0.6666666666666666,0.6428571428571429,0.7692307692307693,0.7328937728937729,0.0649711535089516,94,0.18181818181818182,0.25,0.27906976744186046,0.20930232558139536,0.22727272727272727,0.22949260042283298,0.033358279785735336,181
1.7876009941101074,0.13963401227014127,0.12458429336547852,0.02780459331680989,True,8,1,5,350,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350, 'random_state': 42}",0.8657243816254417,0.8692579505300353,0.875886524822695,0.8652482269503546,0.8652482269503546,0.8682730621757763,0.004092183949334114,79,0.2962962962962963,0.3508771929824561,0.44444444444444453,0.32142857142857145,0.3214285714285714,0.3468950153160679,0.05174757725194614,169,0.8,0.7692307692307693,0.7,0.6923076923076923,0.75,0.7423076923076923,0.04099357721376688,79,0.18181818181818182,0.22727272727272727,0.32558139534883723,0.20930232558139536,0.20454545454545456,0.22970401691331924,0.050081170787759165,163
2.607755947113037,0.4748236746892748,0.13337264060974122,0.006637509572132066,True,8,1,5,450,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450, 'random_state': 42}",0.8621908127208481,0.8692579505300353,0.8687943262411347,0.8652482269503546,0.8687943262411347,0.8668571285367015,0.0027434461446739305,120,0.2909090909090909,0.3508771929824561,0.3934426229508197,0.32142857142857145,0.3272727272727273,0.3367860411087331,0.034174781350865324,207,0.7272727272727273,0.7692307692307693,0.6666666666666666,0.6923076923076923,0.8181818181818182,0.7347319347319348,0.054115412716830145,90,0.18181818181818182,0.22727272727272727,0.27906976744186046,0.20930232558139536,0.20454545454545456,0.22040169133192386,0.03271836689332381,202
0.8606427192687989,0.15901010290282735,0.05987296104431152,0.011010845250147389,True,8,1,8,150,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 150, 'random_state': 42}",0.8586572438162544,0.8763250883392226,0.8794326241134752,0.8687943262411347,0.8652482269503546,0.8696915018920883,0.007499285284934958,35,0.23076923076923075,0.38596491228070173,0.45161290322580644,0.32727272727272727,0.2962962962962963,0.3383832139689525,0.07557843803275635,205,0.75,0.8461538461538461,0.7368421052631579,0.75,0.8,0.7765991902834009,0.04094168463905831,42,0.13636363636363635,0.25,0.32558139534883723,0.20930232558139536,0.18181818181818182,0.22061310782241014,0.06420729606165938,193
1.3850127696990966,0.20093689596570777,0.08158655166625976,0.007765949270152129,True,8,1,8,250,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 250, 'random_state': 42}",0.8657243816254417,0.872791519434629,0.875886524822695,0.8652482269503546,0.8652482269503546,0.8689797759566951,0.004487294874753831,65,0.2962962962962963,0.35714285714285715,0.44444444444444453,0.32142857142857145,0.2962962962962963,0.34312169312169316,0.055351097695754616,183,0.8,0.8333333333333334,0.7,0.6923076923076923,0.8,0.7651282051282051,0.057668941136981365,55,0.18181818181818182,0.22727272727272727,0.32558139534883723,0.20930232558139536,0.18181818181818182,0.2251585623678647,0.0530987994112494,183
