mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.0031673431396484373,0.0006585626700163826,0.0,0.0,True,8,1,1,150,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 150, 'random_state': 42}",,,,,,,,145,,,,,,,,145
0.003531074523925781,0.0009254028938661626,0.0,0.0,True,8,1,1,250,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 250, 'random_state': 42}",,,,,,,,145,,,,,,,,145
0.0033122539520263673,0.0009679110108233723,0.0,0.0,True,8,1,1,350,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 350, 'random_state': 42}",,,,,,,,145,,,,,,,,145
0.0022893428802490236,0.0003664174900582441,0.0,0.0,True,8,1,1,450,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 450, 'random_state': 42}",,,,,,,,145,,,,,,,,145
0.8819670677185059,0.12124922406707957,0.10961747169494629,0.04992286701507027,True,8,1,5,150,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150, 'random_state': 42}",0.8621908127208481,0.872791519434629,0.8794326241134752,0.8687943262411347,0.8687943262411347,0.8704007217502443,0.005654286749023822,17,0.8520349942944084,0.8834157474324839,0.910187797995524,0.8304952807239467,0.8632543926661573,0.867877642622504,0.02720803879773874,97
1.2309864044189454,0.09526901210866391,0.1372519016265869,0.00850777728302313,True,8,1,5,250,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250, 'random_state': 42}",0.8657243816254417,0.872791519434629,0.8687943262411347,0.8617021276595744,0.8687943262411347,0.867561336240383,0.003690530378686919,74,0.8545074172689234,0.888170406998859,0.9093120560474847,0.8266030942882163,0.8588617265087853,0.8674909402224538,0.028605933712256434,111
1.6329710006713867,0.04366154306865228,0.18334741592407228,0.011572484238138165,True,8,1,5,350,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350, 'random_state': 42}",0.8657243816254417,0.8692579505300353,0.875886524822695,0.8652482269503546,0.8652482269503546,0.8682730621757763,0.004092183949334114,57,0.8562190947128185,0.8876949410422214,0.9114527585871364,0.8235866498005254,0.8608670741023682,0.8679641036490141,0.029793423858080745,94
2.4110363006591795,0.27558962574310353,0.26029481887817385,0.06840093690670701,True,8,1,5,450,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450, 'random_state': 42}",0.8621908127208481,0.8692579505300353,0.8687943262411347,0.8652482269503546,0.8687943262411347,0.8668571285367015,0.0027434461446739305,87,0.854412324077596,0.888360593381514,0.9114527585871364,0.8231001264960592,0.8631588999236057,0.8680969404931822,0.030088897726487204,91
0.6815881252288818,0.013327343108641032,0.08573694229125976,0.002165182163389486,True,8,1,8,150,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 150, 'random_state': 42}",0.8586572438162544,0.8763250883392226,0.8794326241134752,0.8687943262411347,0.8652482269503546,0.8696915018920883,0.007499285284934958,23,0.8455686572841384,0.8869341955116014,0.9005546365670916,0.8204729006519412,0.8580977845683728,0.8623256349166291,0.028696202554070124,144
1.4757233619689942,0.2645211095029412,0.19507842063903807,0.047747865055398124,True,8,1,8,250,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 250, 'random_state': 42}",0.8657243816254417,0.872791519434629,0.875886524822695,0.8652482269503546,0.8652482269503546,0.8689797759566951,0.004487294874753831,48,0.8466146823887409,0.887409661468239,0.9064902208815802,0.8226136031915929,0.8552330022918258,0.8636722340443959,0.029815557435866162,142
1.683026123046875,0.0937519377140252,0.18099493980407716,0.007423366959007704,True,8,1,8,350,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 350, 'random_state': 42}",0.8657243816254417,0.8692579505300353,0.875886524822695,0.8687943262411347,0.8687943262411347,0.8696915018920883,0.0033440743831932604,23,0.848136173449981,0.8836059338151389,0.9050306509681814,0.820764814634621,0.8597211611917494,0.8634517468119345,0.029002257704461437,143
2.151542234420776,0.11367344080629832,0.23979425430297852,0.01645948008773599,True,8,1,8,450,42,"{'bootstrap': True, 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 450, 'random_state': 42}",0.8657243816254417,0.8692579505300353,0.8687943262411347,0.8687943262411347,0.8687943262411347,0.8682730621757763,0.001286928614610045,57,0.8446177253708634,0.8837010270064662,0.905225260289968,0.8216405565826603,0.8636363636363638,0.8637641865772643,0.029180478951053704,141
