mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.0059032440185546875,0.00035152915888174863,0.01096639633178711,0.0007466922705655354,gini,2,sqrt,1,2,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.006387853622436523,0.0005253178567111795,0.011015987396240235,0.0006026359350046742,gini,2,sqrt,1,4,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.006897497177124024,0.001445235841498122,0.013427925109863282,0.002310185491679362,gini,2,sqrt,1,8,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.005757951736450195,6.008197390642527e-05,0.010544204711914062,0.00027410541809402074,gini,2,sqrt,1,16,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 16, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.007282924652099609,0.0013846933621952753,0.012767887115478516,0.0018903526319559935,gini,2,sqrt,1,32,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 32, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.00583195686340332,0.00024788997779478557,0.010384130477905273,0.0001227484248747648,gini,2,sqrt,2,2,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.006583213806152344,0.0011349248573473943,0.011108303070068359,0.0005629602900733905,gini,2,sqrt,2,4,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 4, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.0061147212982177734,0.0004696164832122485,0.010978126525878906,0.0008623363772703683,gini,2,sqrt,2,8,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.0056267261505126955,4.427078003791039e-05,0.011765384674072265,0.0025511563396255436,gini,2,sqrt,2,16,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 16, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
0.006798839569091797,0.0014331092262746818,0.011471939086914063,0.0009168112886146861,gini,2,sqrt,2,32,42,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 32, 'random_state': 42}",0.8303886925795053,0.833922261484099,0.8333333333333334,0.8262411347517731,0.8439716312056738,0.8335714106708767,0.0058686796433872245,1513,0.25000000000000006,0.17543859649122806,0.0,0.3098591549295775,0.08333333333333334,0.1637262169508278,0.11153875639595474,1531,0.4,0.38461538461538464,0.0,0.39285714285714285,0.5,0.3354945054945055,0.17290628252999016,1641,0.18181818181818182,0.11363636363636363,0.0,0.2558139534883721,0.045454545454545456,0.11934460887949258,0.09193725092583561,1531
