mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_max_depth,param_learning_rate,param_criterion,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
3.7532670974731444,0.7423665394529857,0.021456575393676756,0.0006787650341974285,42,300,10,1,friedman_mse,"{'random_state': 42, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8409893992932862,0.872791519434629,0.900709219858156,0.8617021276595744,0.8723404255319149,0.869706538355512,0.019320276378868746,12,0.3283582089552239,0.48571428571428565,0.6111111111111112,0.46575342465753417,0.5135135135135135,0.48089010879033367,0.09114841560663359,26,0.4782608695652174,0.6538461538461539,0.7586206896551724,0.5666666666666667,0.6333333333333333,0.6181455426133087,0.09322689095780079,16,0.25,0.38636363636363635,0.5116279069767442,0.3953488372093023,0.4318181818181818,0.39503171247357294,0.08492037521587618,27
6.931003475189209,1.1946215438365708,0.029392719268798828,0.007232736797366174,42,600,8,0.5,friedman_mse,"{'random_state': 42, 'n_estimators': 600, 'max_depth': 8, 'learning_rate': 0.5, 'criterion': 'friedman_mse'}",0.8621908127208481,0.8763250883392226,0.8900709219858156,0.851063829787234,0.8723404255319149,0.870398215673007,0.01316886717380562,11,0.49350649350649356,0.5070422535211268,0.5633802816901409,0.4324324324324324,0.48571428571428565,0.49641514937289594,0.04198576215317823,12,0.5757575757575758,0.6666666666666666,0.7142857142857143,0.5161290322580645,0.6538461538461539,0.625337028562835,0.07045180835069162,10,0.4318181818181818,0.4090909090909091,0.46511627906976744,0.37209302325581395,0.38636363636363635,0.4128964059196617,0.033070634884157075,16
3.0641103267669676,0.32714206559176057,0.02582888603210449,0.005676291248849756,42,500,2,1,squared_error,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 1, 'criterion': 'squared_error'}",0.8515901060070671,0.8657243816254417,0.8687943262411347,0.8439716312056738,0.8617021276595744,0.8583565145477783,0.009242679899462859,42,0.5,0.5681818181818182,0.5432098765432098,0.4054054054054055,0.5063291139240506,0.5046252428108968,0.055492493935195404,6,0.525,0.5681818181818182,0.5789473684210527,0.4838709677419355,0.5714285714285714,0.5454857451546756,0.03612165208767643,44,0.4772727272727273,0.5681818181818182,0.5116279069767442,0.3488372093023256,0.45454545454545453,0.4720930232558139,0.07255729558885685,2
5.51466121673584,1.2644478919787934,0.0301361083984375,0.01637678432745585,42,400,8,0.5,friedman_mse,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 8, 'learning_rate': 0.5, 'criterion': 'friedman_mse'}",0.8586572438162544,0.8763250883392226,0.8936170212765957,0.8404255319148937,0.8652482269503546,0.8668546224594641,0.01774367529342113,28,0.48717948717948717,0.5070422535211268,0.5714285714285714,0.36619718309859156,0.4411764705882353,0.47460479316320237,0.06849061026411316,32,0.5588235294117647,0.6666666666666666,0.7407407407407407,0.4642857142857143,0.625,0.6111033302209773,0.09420705909406055,26,0.4318181818181818,0.4090909090909091,0.46511627906976744,0.3023255813953488,0.3409090909090909,0.38985200845665957,0.059753309610989847,31
5.570080709457398,0.973009553894977,0.02279210090637207,0.0010034443374766246,42,500,8,0.5,squared_error,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.5, 'criterion': 'squared_error'}",0.8657243816254417,0.8833922261484098,0.8900709219858156,0.8475177304964538,0.8546099290780141,0.868263037866827,0.016295374072473213,22,0.5,0.547945205479452,0.5633802816901409,0.3943661971830986,0.4225352112676057,0.4856453791240594,0.06699973272191917,22,0.59375,0.6896551724137931,0.7142857142857143,0.5,0.5555555555555556,0.6106492884510126,0.080680367933908,28,0.4318181818181818,0.45454545454545453,0.46511627906976744,0.32558139534883723,0.3409090909090909,0.4035940803382664,0.058639594633154726,22
0.49904813766479494,0.0023734131798953625,0.018053627014160155,7.539602220813261e-05,42,100,2,1,friedman_mse,"{'random_state': 42, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8480565371024735,0.8197879858657244,0.8404255319148937,0.8652482269503546,0.8652482269503546,0.8477533017567602,0.017017590137705204,52,0.5057471264367817,0.4516129032258064,0.4578313253012048,0.5365853658536586,0.4722222222222222,0.4847997886079347,0.03196059925429634,24,0.5116279069767442,0.42857142857142855,0.475,0.5641025641025641,0.6071428571428571,0.5172889513587188,0.06317664189053365,51,0.5,0.4772727272727273,0.4418604651162791,0.5116279069767442,0.38636363636363635,0.4634249471458774,0.04529126482416142,6
5.360659503936768,1.082825719748231,0.022855281829833984,0.0014539502945558427,42,600,6,1,squared_error,"{'random_state': 42, 'n_estimators': 600, 'max_depth': 6, 'learning_rate': 1, 'criterion': 'squared_error'}",0.8621908127208481,0.8904593639575972,0.8865248226950354,0.8723404255319149,0.8617021276595744,0.874643510512994,0.011992998559490127,2,0.4657534246575343,0.5866666666666667,0.5555555555555556,0.5,0.4657534246575343,0.5147458143074581,0.04869495150756741,2,0.5862068965517241,0.7096774193548387,0.6896551724137931,0.6206896551724138,0.5862068965517241,0.6384872080088988,0.05190264269168959,2,0.38636363636363635,0.5,0.46511627906976744,0.4186046511627907,0.38636363636363635,0.4312896405919662,0.044861911750069594,10
5.151640558242798,0.9184154670527304,0.0276486873626709,0.011311163893107292,42,400,10,0.5,squared_error,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.5, 'criterion': 'squared_error'}",0.8586572438162544,0.8798586572438163,0.8936170212765957,0.8475177304964538,0.8652482269503546,0.8689797759566948,0.016164420423429065,17,0.4117647058823529,0.5,0.5833333333333334,0.3943661971830986,0.4411764705882353,0.466128141397404,0.06871987406350162,36,0.5833333333333334,0.7083333333333334,0.7241379310344828,0.5,0.625,0.6281609195402299,0.08256382726552153,8,0.3181818181818182,0.38636363636363635,0.4883720930232558,0.32558139534883723,0.3409090909090909,0.3718816067653277,0.06287517185580489,40
1.8825157642364503,0.026800491391260152,0.018894290924072264,0.00020942357934459834,42,200,4,1,squared_error,"{'random_state': 42, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 1, 'criterion': 'squared_error'}",0.8515901060070671,0.8480565371024735,0.875886524822695,0.8687943262411347,0.8723404255319149,0.863333583941057,0.011312087877867172,36,0.46153846153846156,0.4266666666666667,0.49275362318840576,0.4788732394366197,0.4705882352941177,0.4660840452248543,0.022223904557794168,37,0.5294117647058824,0.5161290322580645,0.6538461538461539,0.6071428571428571,0.6666666666666666,0.5946392949239249,0.06207773438838532,36,0.4090909090909091,0.36363636363636365,0.3953488372093023,0.3953488372093023,0.36363636363636365,0.3854122621564482,0.01847446281179998,34
1.3878067493438722,0.055625853783977136,0.018615865707397462,0.0005537341094837212,42,100,6,1,friedman_mse,"{'random_state': 42, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8551236749116607,0.8657243816254417,0.8865248226950354,0.8687943262411347,0.8617021276595744,0.8675738666265694,0.010521724617035147,23,0.4225352112676057,0.5,0.5294117647058824,0.4307692307692308,0.43478260869565216,0.4634997630876742,0.04301329203866536,38,0.5555555555555556,0.59375,0.72,0.6363636363636364,0.6,0.6211338383838384,0.05568391072363915,15,0.3409090909090909,0.4318181818181818,0.4186046511627907,0.32558139534883723,0.3409090909090909,0.37156448202959835,0.04435591532250249,43
