mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.8926473617553711,0.08925697584886336,0.08780450820922851,0.0145469888376395,42,250,5,2,2,False,"{'random_state': 42, 'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 2, 'bootstrap': False}",0.8480565371024735,0.8445229681978799,0.851063829787234,0.8546099290780141,0.8439716312056738,0.848444979074255,0.004010209102750315,136,0.044444444444444446,0.0,0.04545454545454545,0.1276595744680851,0.0,0.043511712873415,0.04663055974773339,136,1.0,0.0,1.0,0.75,0.0,0.55,0.45825756949558405,130,0.022727272727272728,0.0,0.023255813953488372,0.06976744186046512,0.0,0.023150105708245244,0.025476345030234753,136
2.849183177947998,0.3136999912455538,0.1678441047668457,0.009142740361438067,42,650,5,2,4,True,"{'random_state': 42, 'n_estimators': 650, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 4, 'bootstrap': True}",0.8480565371024735,0.8586572438162544,0.875886524822695,0.8581560283687943,0.8581560283687943,0.8597824724958023,0.008982147212929142,122,0.1224489795918367,0.19999999999999998,0.3636363636363636,0.2,0.19999999999999998,0.21721706864564005,0.07913138821824897,123,0.6,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.7628571428571429,0.0935759722633648,63,0.06818181818181818,0.11363636363636363,0.23255813953488372,0.11627906976744186,0.11363636363636363,0.1288583509513742,0.05487612211507059,124
1.4129688262939453,0.11834601306533137,0.15112180709838868,0.03369403147432066,42,450,2,4,2,False,"{'random_state': 42, 'n_estimators': 450, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 2, 'bootstrap': False}",0.8480565371024735,0.8445229681978799,0.851063829787234,0.8546099290780141,0.8439716312056738,0.848444979074255,0.004010209102750315,136,0.044444444444444446,0.0,0.04545454545454545,0.1276595744680851,0.0,0.043511712873415,0.04663055974773339,136,1.0,0.0,1.0,0.75,0.0,0.55,0.45825756949558405,130,0.022727272727272728,0.0,0.023255813953488372,0.06976744186046512,0.0,0.023150105708245244,0.025476345030234753,136
1.7704622745513916,0.11380416421307414,0.10565261840820313,0.006744348563460135,42,350,10,1,8,False,"{'random_state': 42, 'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 8, 'bootstrap': False}",0.8586572438162544,0.8798586572438163,0.8865248226950354,0.8546099290780141,0.8652482269503546,0.8689797759566948,0.012273144260569168,31,0.31034482758620696,0.3928571428571429,0.5151515151515151,0.3278688524590164,0.3214285714285714,0.37353018189649057,0.07644875050852003,7,0.6428571428571429,0.9166666666666666,0.7391304347826086,0.5555555555555556,0.75,0.7208419599723948,0.12077516511814756,94,0.20454545454545456,0.25,0.3953488372093023,0.23255813953488372,0.20454545454545456,0.25739957716701906,0.07111816317690746,10
0.7537545204162598,0.06654908619449607,0.05585603713989258,0.004672898832418905,42,150,10,2,8,False,"{'random_state': 42, 'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 8, 'bootstrap': False}",0.8515901060070671,0.8833922261484098,0.875886524822695,0.8581560283687943,0.8723404255319149,0.8682730621757763,0.011694210336375473,38,0.27586206896551724,0.4210526315789473,0.44444444444444453,0.3333333333333333,0.37931034482758624,0.3708005646299657,0.060725973036008234,10,0.5714285714285714,0.9230769230769231,0.7,0.5882352941176471,0.7857142857142857,0.7136910148674855,0.13053351651613157,98,0.18181818181818182,0.2727272727272727,0.32558139534883723,0.23255813953488372,0.25,0.25253699788583506,0.04722260747607338,20
0.6527839660644531,0.043859130873316055,0.05820398330688477,0.008505785654158056,42,150,10,1,4,True,"{'random_state': 42, 'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 4, 'bootstrap': True}",0.8586572438162544,0.8551236749116607,0.8723404255319149,0.8546099290780141,0.8652482269503546,0.8611959000576397,0.006742603484886886,117,0.23076923076923075,0.163265306122449,0.33333333333333337,0.19607843137254904,0.24000000000000002,0.23268926031951245,0.05717761987613843,116,0.75,0.8,0.8181818181818182,0.625,1.0,0.7986363636363636,0.1211992417399841,32,0.13636363636363635,0.09090909090909091,0.20930232558139536,0.11627906976744186,0.13636363636363635,0.13784355179704016,0.03944263468428804,117
2.34761118888855,0.39906126833152145,0.19038124084472657,0.060510789745027195,42,550,5,4,2,True,"{'random_state': 42, 'n_estimators': 550, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 2, 'bootstrap': True}",0.8480565371024735,0.8445229681978799,0.8475177304964538,0.8546099290780141,0.8439716312056738,0.847735759216099,0.0037919739469320438,147,0.044444444444444446,0.0,0.0,0.1276595744680851,0.0,0.03442080378250591,0.049695707923680915,148,1.0,0.0,0.0,0.75,0.0,0.35,0.43588989435406733,148,0.022727272727272728,0.0,0.0,0.06976744186046512,0.0,0.018498942917547567,0.027103396185864964,147
2.1373410701751707,0.25384938536233065,0.12722444534301758,0.0076967255296904735,42,450,2,4,4,True,"{'random_state': 42, 'n_estimators': 450, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 4, 'bootstrap': True}",0.8515901060070671,0.8586572438162544,0.8723404255319149,0.8617021276595744,0.8617021276595744,0.8611984061348771,0.006684743888415112,114,0.16,0.19999999999999998,0.3571428571428571,0.2352941176470588,0.20408163265306123,0.2313037214885954,0.06731507575787403,117,0.6666666666666666,0.8333333333333334,0.7692307692307693,0.75,1.0,0.8038461538461539,0.11159002639481509,29,0.09090909090909091,0.11363636363636363,0.23255813953488372,0.13953488372093023,0.11363636363636363,0.13805496828752645,0.0496956935468244,116
1.0078745365142823,0.11669660168623708,0.06552190780639648,0.009745367990309188,42,150,5,1,,True,"{'random_state': 42, 'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",0.8657243816254417,0.872791519434629,0.875886524822695,0.8546099290780141,0.8652482269503546,0.8668521163822268,0.007356798780323483,73,0.3448275862068965,0.39999999999999997,0.44444444444444453,0.34920634920634924,0.3214285714285714,0.3719813902572523,0.044379174789203155,9,0.7142857142857143,0.75,0.7,0.55,0.75,0.6928571428571428,0.0740931570279425,111,0.22727272727272727,0.2727272727272727,0.32558139534883723,0.2558139534883721,0.20454545454545456,0.25718816067653283,0.04144194653295845,11
1.0642724990844727,0.12762571186807592,0.09679160118103028,0.029964783319398742,42,250,10,4,4,False,"{'random_state': 42, 'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 4, 'bootstrap': False}",0.8551236749116607,0.8692579505300353,0.875886524822695,0.8581560283687943,0.8617021276595744,0.8640252612585521,0.007578307123283346,105,0.19607843137254902,0.2745098039215686,0.38596491228070184,0.2,0.2352941176470588,0.2583694530443757,0.06980078463382212,111,0.7142857142857143,1.0,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.8142857142857143,0.10690449676496974,21,0.11363636363636363,0.1590909090909091,0.2558139534883721,0.11627906976744186,0.13636363636363635,0.1562367864693446,0.05240251034478505,111
